Row Type,Feeling Title,Page Summary,Slug Override,Related Faux Feelings,Related Needs,Body Signal Notes,Poem Quotation,Poem URL,Cue Region ID,Cue Region Label,Cue Region Prompt,Cue Option ID,Cue Option Title,Cue Option Note,Cue Option Insight,Cue Feeling Key,Cue Weight
cue,,,,,,,,,throat,Throat and voice,"Bring attention to your throat and voice box. Notice tightness, urge to speak, or dryness.",throat-tight,Tight or gripped,"Squeezing band, hard to swallow","A tight throat can appear when sadness, anxiety, or shame holds words back.",shame,0.9
cue,,,,,,,,,throat,Throat and voice,"Bring attention to your throat and voice box. Notice tightness, urge to speak, or dryness.",throat-tight,Tight or gripped,"Squeezing band, hard to swallow","A tight throat can appear when sadness, anxiety, or shame holds words back.",anxiety,0.8
cue,,,,,,,,,throat,Throat and voice,"Bring attention to your throat and voice box. Notice tightness, urge to speak, or dryness.",throat-lump,Lump or swelling,"Tears hovering, voice shaking, lump rising","A lump in the throat can pair with grief, loneliness, or tenderness seeking expression.",grief,1.2
cue,,,,,,,,,throat,Throat and voice,"Bring attention to your throat and voice box. Notice tightness, urge to speak, or dryness.",throat-lump,Lump or swelling,"Tears hovering, voice shaking, lump rising","A lump in the throat can pair with grief, loneliness, or tenderness seeking expression.",lonely,1
cue,,,,,,,,,throat,Throat and voice,"Bring attention to your throat and voice box. Notice tightness, urge to speak, or dryness.",throat-lump,Lump or swelling,"Tears hovering, voice shaking, lump rising","A lump in the throat can pair with grief, loneliness, or tenderness seeking expression.",sadness,1.1
cue,,,,,,,,,throat,Throat and voice,"Bring attention to your throat and voice box. Notice tightness, urge to speak, or dryness.",throat-lump,Lump or swelling,"Tears hovering, voice shaking, lump rising","A lump in the throat can pair with grief, loneliness, or tenderness seeking expression.",overwhelm,0.8
cue,,,,,,,,,throat,Throat and voice,"Bring attention to your throat and voice box. Notice tightness, urge to speak, or dryness.",throat-dry,Dry or closed off,"Scratchy, hard to speak, voice fades",Dryness can indicate fear or anticipation about speaking up.,fear,1
cue,,,,,,,,,throat,Throat and voice,"Bring attention to your throat and voice box. Notice tightness, urge to speak, or dryness.",throat-dry,Dry or closed off,"Scratchy, hard to speak, voice fades",Dryness can indicate fear or anticipation about speaking up.,anxiety,1
cue,,,,,,,,,throat,Throat and voice,"Bring attention to your throat and voice box. Notice tightness, urge to speak, or dryness.",throat-dry,Dry or closed off,"Scratchy, hard to speak, voice fades",Dryness can indicate fear or anticipation about speaking up.,anticipation,0.8
cue,,,,,,,,,throat,Throat and voice,"Bring attention to your throat and voice box. Notice tightness, urge to speak, or dryness.",throat-dry,Dry or closed off,"Scratchy, hard to speak, voice fades",Dryness can indicate fear or anticipation about speaking up.,shame,0.7
cue,,,,,,,,,jaw,"Jaw, mouth, or fists","Notice your jaw, tongue, and hands. Are they loose, braced, or buzzing?",jaw-clench,Clenched or grinding,"Teeth locked, fists tight, rigid tongue","Clenched muscles can reflect anger, frustration, or determined resolve.",anger,1.3
cue,,,,,,,,,jaw,"Jaw, mouth, or fists","Notice your jaw, tongue, and hands. Are they loose, braced, or buzzing?",jaw-clench,Clenched or grinding,"Teeth locked, fists tight, rigid tongue","Clenched muscles can reflect anger, frustration, or determined resolve.",frustration,1.2
cue,,,,,,,,,jaw,"Jaw, mouth, or fists","Notice your jaw, tongue, and hands. Are they loose, braced, or buzzing?",jaw-clench,Clenched or grinding,"Teeth locked, fists tight, rigid tongue","Clenched muscles can reflect anger, frustration, or determined resolve.",determined,1
cue,,,,,,,,,jaw,"Jaw, mouth, or fists","Notice your jaw, tongue, and hands. Are they loose, braced, or buzzing?",jaw-clench,Clenched or grinding,"Teeth locked, fists tight, rigid tongue","Clenched muscles can reflect anger, frustration, or determined resolve.",stress,0.9
cue,,,,,,,,,jaw,"Jaw, mouth, or fists","Notice your jaw, tongue, and hands. Are they loose, braced, or buzzing?",jaw-heat,Heat or flush,"Warm cheeks, heat pooling in jaw","Heat in the jaw can mark anger, shame, or a boundary flare.",anger,1.1
cue,,,,,,,,,jaw,"Jaw, mouth, or fists","Notice your jaw, tongue, and hands. Are they loose, braced, or buzzing?",jaw-heat,Heat or flush,"Warm cheeks, heat pooling in jaw","Heat in the jaw can mark anger, shame, or a boundary flare.",shame,1
cue,,,,,,,,,jaw,"Jaw, mouth, or fists","Notice your jaw, tongue, and hands. Are they loose, braced, or buzzing?",jaw-heat,Heat or flush,"Warm cheeks, heat pooling in jaw","Heat in the jaw can mark anger, shame, or a boundary flare.",frustration,0.8
cue,,,,,,,,,jaw,"Jaw, mouth, or fists","Notice your jaw, tongue, and hands. Are they loose, braced, or buzzing?",jaw-heat,Heat or flush,"Warm cheeks, heat pooling in jaw","Heat in the jaw can mark anger, shame, or a boundary flare.",guilt,0.7
cue,,,,,,,,,jaw,"Jaw, mouth, or fists","Notice your jaw, tongue, and hands. Are they loose, braced, or buzzing?",jaw-tremble,Tremble or quiver,"Jaw shaking, lips or hands quivering","Trembling around the mouth can accompany fear, overwhelm, or sadness releasing.",fear,1.1
cue,,,,,,,,,jaw,"Jaw, mouth, or fists","Notice your jaw, tongue, and hands. Are they loose, braced, or buzzing?",jaw-tremble,Tremble or quiver,"Jaw shaking, lips or hands quivering","Trembling around the mouth can accompany fear, overwhelm, or sadness releasing.",anxiety,1
cue,,,,,,,,,jaw,"Jaw, mouth, or fists","Notice your jaw, tongue, and hands. Are they loose, braced, or buzzing?",jaw-tremble,Tremble or quiver,"Jaw shaking, lips or hands quivering","Trembling around the mouth can accompany fear, overwhelm, or sadness releasing.",sadness,0.9
cue,,,,,,,,,jaw,"Jaw, mouth, or fists","Notice your jaw, tongue, and hands. Are they loose, braced, or buzzing?",jaw-tremble,Tremble or quiver,"Jaw shaking, lips or hands quivering","Trembling around the mouth can accompany fear, overwhelm, or sadness releasing.",overwhelm,1
cue,,,,,,,,,head,Head and mind space,"Check your forehead, temples, and behind the eyes. Notice pressure, buzzing, or fog.",head-pressure,Pressure or band,"Helmet feeling, squeezing temples","Head pressure can signal mental load, stress, or overwhelm asking for relief.",overwhelm,1.3
cue,,,,,,,,,head,Head and mind space,"Check your forehead, temples, and behind the eyes. Notice pressure, buzzing, or fog.",head-pressure,Pressure or band,"Helmet feeling, squeezing temples","Head pressure can signal mental load, stress, or overwhelm asking for relief.",stress,1.1
cue,,,,,,,,,head,Head and mind space,"Check your forehead, temples, and behind the eyes. Notice pressure, buzzing, or fog.",head-pressure,Pressure or band,"Helmet feeling, squeezing temples","Head pressure can signal mental load, stress, or overwhelm asking for relief.",worry,1
cue,,,,,,,,,head,Head and mind space,"Check your forehead, temples, and behind the eyes. Notice pressure, buzzing, or fog.",head-buzzing,Buzzing or static,"Quick thoughts, humming energy",Buzzing in the head can come with anxious energy or excited anticipation.,anxiety,1.1
cue,,,,,,,,,head,Head and mind space,"Check your forehead, temples, and behind the eyes. Notice pressure, buzzing, or fog.",head-buzzing,Buzzing or static,"Quick thoughts, humming energy",Buzzing in the head can come with anxious energy or excited anticipation.,excitement,0.9
cue,,,,,,,,,head,Head and mind space,"Check your forehead, temples, and behind the eyes. Notice pressure, buzzing, or fog.",head-buzzing,Buzzing or static,"Quick thoughts, humming energy",Buzzing in the head can come with anxious energy or excited anticipation.,anticipation,0.9
cue,,,,,,,,,head,Head and mind space,"Check your forehead, temples, and behind the eyes. Notice pressure, buzzing, or fog.",head-buzzing,Buzzing or static,"Quick thoughts, humming energy",Buzzing in the head can come with anxious energy or excited anticipation.,overwhelm,0.8
cue,,,,,,,,,head,Head and mind space,"Check your forehead, temples, and behind the eyes. Notice pressure, buzzing, or fog.",head-fog,Foggy or heavy,"Hard to focus, thick clouded feeling","Fog can appear with exhaustion, low mood, or protective numbness.",tired,1.1
cue,,,,,,,,,head,Head and mind space,"Check your forehead, temples, and behind the eyes. Notice pressure, buzzing, or fog.",head-fog,Foggy or heavy,"Hard to focus, thick clouded feeling","Fog can appear with exhaustion, low mood, or protective numbness.",numb,1
cue,,,,,,,,,head,Head and mind space,"Check your forehead, temples, and behind the eyes. Notice pressure, buzzing, or fog.",head-fog,Foggy or heavy,"Hard to focus, thick clouded feeling","Fog can appear with exhaustion, low mood, or protective numbness.",sadness,0.8
cue,,,,,,,,,head,Head and mind space,"Check your forehead, temples, and behind the eyes. Notice pressure, buzzing, or fog.",head-fog,Foggy or heavy,"Hard to focus, thick clouded feeling","Fog can appear with exhaustion, low mood, or protective numbness.",overwhelm,0.9
cue,,,,,,,,,shoulders,Shoulders and upper back,"Sense the slope of your shoulders and upper back. Notice if they lift, droop, or carry weight.",shoulders-weighted,Weighted or burdened,"Heavy load, sagging posture, tight knots","Weighted shoulders can align with stress, guilt, or sadness about responsibility.",stress,1.2
cue,,,,,,,,,shoulders,Shoulders and upper back,"Sense the slope of your shoulders and upper back. Notice if they lift, droop, or carry weight.",shoulders-weighted,Weighted or burdened,"Heavy load, sagging posture, tight knots","Weighted shoulders can align with stress, guilt, or sadness about responsibility.",guilt,1.1
cue,,,,,,,,,shoulders,Shoulders and upper back,"Sense the slope of your shoulders and upper back. Notice if they lift, droop, or carry weight.",shoulders-weighted,Weighted or burdened,"Heavy load, sagging posture, tight knots","Weighted shoulders can align with stress, guilt, or sadness about responsibility.",sadness,1
cue,,,,,,,,,shoulders,Shoulders and upper back,"Sense the slope of your shoulders and upper back. Notice if they lift, droop, or carry weight.",shoulders-weighted,Weighted or burdened,"Heavy load, sagging posture, tight knots","Weighted shoulders can align with stress, guilt, or sadness about responsibility.",overwhelm,1
cue,,,,,,,,,shoulders,Shoulders and upper back,"Sense the slope of your shoulders and upper back. Notice if they lift, droop, or carry weight.",shoulders-braced,Lifted or braced,"Raised, ready to act, armor-like","Braced shoulders can show your body gearing up—anxiety, determination, or anger.",anxiety,1.1
cue,,,,,,,,,shoulders,Shoulders and upper back,"Sense the slope of your shoulders and upper back. Notice if they lift, droop, or carry weight.",shoulders-braced,Lifted or braced,"Raised, ready to act, armor-like","Braced shoulders can show your body gearing up—anxiety, determination, or anger.",determined,1
cue,,,,,,,,,shoulders,Shoulders and upper back,"Sense the slope of your shoulders and upper back. Notice if they lift, droop, or carry weight.",shoulders-braced,Lifted or braced,"Raised, ready to act, armor-like","Braced shoulders can show your body gearing up—anxiety, determination, or anger.",anger,0.8
cue,,,,,,,,,shoulders,Shoulders and upper back,"Sense the slope of your shoulders and upper back. Notice if they lift, droop, or carry weight.",shoulders-braced,Lifted or braced,"Raised, ready to act, armor-like","Braced shoulders can show your body gearing up—anxiety, determination, or anger.",fear,0.9
cue,,,,,,,,,shoulders,Shoulders and upper back,"Sense the slope of your shoulders and upper back. Notice if they lift, droop, or carry weight.",shoulders-droop,Drooping or collapsed,"Slumped, no lift, giving way","Drooping shoulders can reflect fatigue, discouragement, or grief.",tired,1.1
cue,,,,,,,,,shoulders,Shoulders and upper back,"Sense the slope of your shoulders and upper back. Notice if they lift, droop, or carry weight.",shoulders-droop,Drooping or collapsed,"Slumped, no lift, giving way","Drooping shoulders can reflect fatigue, discouragement, or grief.",sadness,1
cue,,,,,,,,,shoulders,Shoulders and upper back,"Sense the slope of your shoulders and upper back. Notice if they lift, droop, or carry weight.",shoulders-droop,Drooping or collapsed,"Slumped, no lift, giving way","Drooping shoulders can reflect fatigue, discouragement, or grief.",grief,0.9
cue,,,,,,,,,shoulders,Shoulders and upper back,"Sense the slope of your shoulders and upper back. Notice if they lift, droop, or carry weight.",shoulders-droop,Drooping or collapsed,"Slumped, no lift, giving way","Drooping shoulders can reflect fatigue, discouragement, or grief.",numb,0.9
cue,,,,,,,,,limbs,"Arms, hands, or legs","Let awareness move through arms and legs. Notice heaviness, restlessness, or tingles.",limbs-heavy,Heavy or lead-like,"Hard to move, sluggish, weighted","Heavy limbs can show tiredness, sadness, or numb shutdown.",tired,1.3
cue,,,,,,,,,limbs,"Arms, hands, or legs","Let awareness move through arms and legs. Notice heaviness, restlessness, or tingles.",limbs-heavy,Heavy or lead-like,"Hard to move, sluggish, weighted","Heavy limbs can show tiredness, sadness, or numb shutdown.",sadness,1
cue,,,,,,,,,limbs,"Arms, hands, or legs","Let awareness move through arms and legs. Notice heaviness, restlessness, or tingles.",limbs-heavy,Heavy or lead-like,"Hard to move, sluggish, weighted","Heavy limbs can show tiredness, sadness, or numb shutdown.",numb,1.1
cue,,,,,,,,,limbs,"Arms, hands, or legs","Let awareness move through arms and legs. Notice heaviness, restlessness, or tingles.",limbs-heavy,Heavy or lead-like,"Hard to move, sluggish, weighted","Heavy limbs can show tiredness, sadness, or numb shutdown.",overwhelm,0.8
cue,,,,,,,,,limbs,"Arms, hands, or legs","Let awareness move through arms and legs. Notice heaviness, restlessness, or tingles.",limbs-restless,Restless or fidgety,"Urge to pace, bounce, or shake","Restless limbs can signal pent-up energy linked to anxiety, anticipation, or frustration.",anxiety,1.2
cue,,,,,,,,,limbs,"Arms, hands, or legs","Let awareness move through arms and legs. Notice heaviness, restlessness, or tingles.",limbs-restless,Restless or fidgety,"Urge to pace, bounce, or shake","Restless limbs can signal pent-up energy linked to anxiety, anticipation, or frustration.",anticipation,1.1
cue,,,,,,,,,limbs,"Arms, hands, or legs","Let awareness move through arms and legs. Notice heaviness, restlessness, or tingles.",limbs-restless,Restless or fidgety,"Urge to pace, bounce, or shake","Restless limbs can signal pent-up energy linked to anxiety, anticipation, or frustration.",excitement,1
cue,,,,,,,,,limbs,"Arms, hands, or legs","Let awareness move through arms and legs. Notice heaviness, restlessness, or tingles.",limbs-restless,Restless or fidgety,"Urge to pace, bounce, or shake","Restless limbs can signal pent-up energy linked to anxiety, anticipation, or frustration.",frustration,0.9
cue,,,,,,,,,limbs,"Arms, hands, or legs","Let awareness move through arms and legs. Notice heaviness, restlessness, or tingles.",limbs-tingly,Tingly or sparkly,"Buzzing skin, energetic tingles",Tingles can mean excited anticipation or anxious vigilance.,anticipation,1.2
cue,,,,,,,,,limbs,"Arms, hands, or legs","Let awareness move through arms and legs. Notice heaviness, restlessness, or tingles.",limbs-tingly,Tingly or sparkly,"Buzzing skin, energetic tingles",Tingles can mean excited anticipation or anxious vigilance.,excitement,1.1
cue,,,,,,,,,limbs,"Arms, hands, or legs","Let awareness move through arms and legs. Notice heaviness, restlessness, or tingles.",limbs-tingly,Tingly or sparkly,"Buzzing skin, energetic tingles",Tingles can mean excited anticipation or anxious vigilance.,fear,0.9
cue,,,,,,,,,limbs,"Arms, hands, or legs","Let awareness move through arms and legs. Notice heaviness, restlessness, or tingles.",limbs-tingly,Tingly or sparkly,"Buzzing skin, energetic tingles",Tingles can mean excited anticipation or anxious vigilance.,joy,0.8
cue,,,,,,,,,temperature,Temperature shifts,Notice any sudden changes in temperature or skin sensation.,temp-flush,Flush of heat,"Cheeks glowing, warmth rushing outward","Heat waves can pair with anger, excitement, or shame.",anger,1.2
cue,,,,,,,,,temperature,Temperature shifts,Notice any sudden changes in temperature or skin sensation.,temp-flush,Flush of heat,"Cheeks glowing, warmth rushing outward","Heat waves can pair with anger, excitement, or shame.",excitement,1
cue,,,,,,,,,temperature,Temperature shifts,Notice any sudden changes in temperature or skin sensation.,temp-flush,Flush of heat,"Cheeks glowing, warmth rushing outward","Heat waves can pair with anger, excitement, or shame.",shame,1
cue,,,,,,,,,temperature,Temperature shifts,Notice any sudden changes in temperature or skin sensation.,temp-flush,Flush of heat,"Cheeks glowing, warmth rushing outward","Heat waves can pair with anger, excitement, or shame.",pride,0.6
cue,,,,,,,,,temperature,Temperature shifts,Notice any sudden changes in temperature or skin sensation.,temp-chill,Chill or cold rush,"Goosebumps, cold core, shivers","Chills may signal fear, anxiety, or grief moving through.",fear,1.2
cue,,,,,,,,,temperature,Temperature shifts,Notice any sudden changes in temperature or skin sensation.,temp-chill,Chill or cold rush,"Goosebumps, cold core, shivers","Chills may signal fear, anxiety, or grief moving through.",anxiety,1.1
cue,,,,,,,,,temperature,Temperature shifts,Notice any sudden changes in temperature or skin sensation.,temp-chill,Chill or cold rush,"Goosebumps, cold core, shivers","Chills may signal fear, anxiety, or grief moving through.",sadness,0.8
cue,,,,,,,,,temperature,Temperature shifts,Notice any sudden changes in temperature or skin sensation.,temp-chill,Chill or cold rush,"Goosebumps, cold core, shivers","Chills may signal fear, anxiety, or grief moving through.",overwhelm,0.9
cue,,,,,,,,,temperature,Temperature shifts,Notice any sudden changes in temperature or skin sensation.,temp-prickly,Prickly or sweaty skin,"Prickles, sudden sweat, tingling heat","Prickly sensations can show adrenaline—anxiety, anticipation, or overwhelm.",anxiety,1.1
cue,,,,,,,,,temperature,Temperature shifts,Notice any sudden changes in temperature or skin sensation.,temp-prickly,Prickly or sweaty skin,"Prickles, sudden sweat, tingling heat","Prickly sensations can show adrenaline—anxiety, anticipation, or overwhelm.",anticipation,1
cue,,,,,,,,,temperature,Temperature shifts,Notice any sudden changes in temperature or skin sensation.,temp-prickly,Prickly or sweaty skin,"Prickles, sudden sweat, tingling heat","Prickly sensations can show adrenaline—anxiety, anticipation, or overwhelm.",excitement,0.9
cue,,,,,,,,,temperature,Temperature shifts,Notice any sudden changes in temperature or skin sensation.,temp-prickly,Prickly or sweaty skin,"Prickles, sudden sweat, tingling heat","Prickly sensations can show adrenaline—anxiety, anticipation, or overwhelm.",stress,0.8
cue,,,,,,,,,overall,Whole-body sense,Step back and notice the overall tone of your body right now.,overall-numb,Muted or numb,"Blank, disconnected, hard to feel",Numbness can be protective when overwhelm maxes out.,numb,1.4
cue,,,,,,,,,overall,Whole-body sense,Step back and notice the overall tone of your body right now.,overall-numb,Muted or numb,"Blank, disconnected, hard to feel",Numbness can be protective when overwhelm maxes out.,bored,1.1
cue,,,,,,,,,overall,Whole-body sense,Step back and notice the overall tone of your body right now.,overall-numb,Muted or numb,"Blank, disconnected, hard to feel",Numbness can be protective when overwhelm maxes out.,overwhelm,0.9
cue,,,,,,,,,overall,Whole-body sense,Step back and notice the overall tone of your body right now.,overall-numb,Muted or numb,"Blank, disconnected, hard to feel",Numbness can be protective when overwhelm maxes out.,tired,0.9
cue,,,,,,,,,overall,Whole-body sense,Step back and notice the overall tone of your body right now.,overall-floating,Floating or unreal,"Drifting, spaced out, not quite here",Floating sensations can hint at overwhelm or anxiety pulling you away from the moment.,overwhelm,1.1
cue,,,,,,,,,overall,Whole-body sense,Step back and notice the overall tone of your body right now.,overall-floating,Floating or unreal,"Drifting, spaced out, not quite here",Floating sensations can hint at overwhelm or anxiety pulling you away from the moment.,anxiety,1
cue,,,,,,,,,overall,Whole-body sense,Step back and notice the overall tone of your body right now.,overall-floating,Floating or unreal,"Drifting, spaced out, not quite here",Floating sensations can hint at overwhelm or anxiety pulling you away from the moment.,numb,0.9
cue,,,,,,,,,overall,Whole-body sense,Step back and notice the overall tone of your body right now.,overall-floating,Floating or unreal,"Drifting, spaced out, not quite here",Floating sensations can hint at overwhelm or anxiety pulling you away from the moment.,sadness,0.7
cue,,,,,,,,,overall,Whole-body sense,Step back and notice the overall tone of your body right now.,overall-calm,Grounded or calm,"Steady, anchored, peacefully present","Steady calm can mean needs feel met—contentment, gratitude, or relief.",calm,1.3
cue,,,,,,,,,overall,Whole-body sense,Step back and notice the overall tone of your body right now.,overall-calm,Grounded or calm,"Steady, anchored, peacefully present","Steady calm can mean needs feel met—contentment, gratitude, or relief.",relief,1.1
cue,,,,,,,,,overall,Whole-body sense,Step back and notice the overall tone of your body right now.,overall-calm,Grounded or calm,"Steady, anchored, peacefully present","Steady calm can mean needs feel met—contentment, gratitude, or relief.",contentment,1.1
cue,,,,,,,,,overall,Whole-body sense,Step back and notice the overall tone of your body right now.,overall-calm,Grounded or calm,"Steady, anchored, peacefully present","Steady calm can mean needs feel met—contentment, gratitude, or relief.",gratitude,1
cue,,,,,,,,,gut,Stomach or gut,"Soften awareness into your belly. Notice flips, hollowness, or steadiness.",gut-nausea,Nausea or queasy,"Churned up, unsettled, urge to vomit",Nausea can also arise with disgust or revulsion.,disgust,1.2
cue,,,,,,,,,throat,Throat and voice,"Bring attention to your throat and voice box. Notice tightness, urge to speak, or dryness.",throat-gag,Gag or urge to retch,"Gag reflex, throat closing, increased saliva",Gagging or throat closing is a classic disgust response.,disgust,1.1
cue,,,,,,,,,jaw,"Jaw, mouth, or fists","Notice your jaw, tongue, and hands. Are they loose, braced, or buzzing?",jaw-clench,Clenched or grinding,"Teeth locked, fists tight, rigid tongue",Clenched muscles can also reflect chronic anxiety or stress.,anxiety,1
cue,,,,,,,,,limbs,"Arms, hands, or legs","Let awareness move through arms and legs. Notice heaviness, restlessness, or tingles.",limbs-restless,Restless or fidgety,"Urge to pace, bounce, or shake",Restless pacing can accompany anger as energy mobilizes for action.,anger,0.8
cue,,,,,,,,,temperature,Temperature shifts,Notice any sudden changes in temperature or skin sensation.,temp-prickly,Prickly or sweaty skin,"Prickles, sudden sweat, tingling heat",Adrenaline in fear can produce cold sweat and skin prickles.,fear,1
cue,,,,,,,,,chest,Chest or heart space,"Rest your attention on your chest or heart space. Notice breath depth, expansion, or pulsing.",chest-open,"Open, warm, or expansive","Soft chest, easy breathing, gentle warmth","An open, warm chest often accompanies love and affectionate connection.",love,1.1
